Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","048","Bahrain","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","59.21","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","169356.25","X","Figure from international organizations"
"FBS","Food Balances (2010-)","050","Bangladesh","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","52.3","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","13.21","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","281.2","X","Figure from international organizations"
"FBS","Food Balances (2010-)","052","Barbados","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","45.94","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","62.21","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","9578.17","X","Figure from international organizations"
"FBS","Food Balances (2010-)","112","Belarus","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","41.21","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","69.42","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","11611.42","X","Figure from international organizations"
"FBS","Food Balances (2010-)","056","Belgium","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","40.79","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","71.02","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","400.03","X","Figure from international organizations"
"FBS","Food Balances (2010-)","084","Belize","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","41.48","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","41.27","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","12996.9","X","Figure from international organizations"
"FBS","Food Balances (2010-)","204","Benin","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","56.94","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","13.16","E","Estimated value"
"FBS","Food Balances (2010-)","064","Bhutan","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","777.49","X","Figure from international organizations"
"FBS","Food Balances (2010-)","064","Bhutan","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","57.92","E","Estimated value"
"FBS","Food Balances (2010-)","064","Bhutan","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","33.31","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","12079.47","X","Figure from international organizations"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","37.41","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","41.96","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","3270.94","X","Figure from international organizations"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","70.4","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","39.58","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","2588.42","X","Figure from international organizations"
"FBS","Food Balances (2010-)","072","Botswana","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","41.19","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","31.21","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","214326.22","X","Figure from international organizations"
"FBS","Food Balances (2010-)","076","Brazil","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","37.55","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","64.25","E","Estimated value"
"FBS","Food Balances (2010-)","100","Bulgaria","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","6885.87","X","Figure from international organizations"
"FBS","Food Balances (2010-)","100","Bulgaria","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","40.27","E","Estimated value"
"FBS","Food Balances (2010-)","100","Bulgaria","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","51.21","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","22100.68","X","Figure from international organizations"
"FBS","Food Balances (2010-)","854","Burkina Faso","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","70.05","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","20.26","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","12551.21","X","Figure from international organizations"
"FBS","Food Balances (2010-)","108","Burundi","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","37.1","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","3.09","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","587.92","X","Figure from international organizations"
"FBS","Food Balances (2010-)","132","Cabo Verde","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","45.56","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","30.06","E","Estimated value"
